Woody Allen
Julie Andrews
Humphrey Bogart
Marlon Brando
Richard Burton
Robert De Niro
Faye Dunaway
Robert Duvall
Harrison Ford
Alec Guinness
Gene Hackman
Katharine Hepburn
Audrey Hepburn
Dustin Hoffman
Ben Kingsley
Burt Lancaster
Jessica Lange
Vivien Leigh
Jack Lemmon
Shirley MacLaine
Marilyn Monroe
Paul Newman
Jack Nicholson
Peter O'Toole
Al Pacino
Gregory Peck
James Stewart
Meryl Streep
Elizabeth Taylor
John Wayne
Orson Welles
Natalie Wood
